10016	PASS	Web Browser XSS Protection Not Enabled
10020	PASS	X-Frame-Options Header
10021	PASS	X-Content-Type-Options Header Missing
10022	PASS	Information Disclosure - Debug Error Messages
10023	PASS	Weak Authentication Method
10024	PASS	Insecure Direct Object References
10025	PASS	Remote File Inclusion
10026	PASS	HTTP Parameter Override
10027	PASS	Information Disclosure - Suspicious Comments
10032	PASS	Viewstate without MAC Signature (Unsure)
10033	PASS	Directory Browsing
10034	PASS	Heartbleed OpenSSL Vulnerability (Indicative)
10035	PASS	Strict Transport Security Header
10036	PASS	Server Leaks Information via "X-Powered-By" HTTP Response Header Field(s)
10037	PASS	Server Leaks Version Information via "Server" HTTP Response Header Field
10040	PASS	Server Leaks Information via "X-AspNet-Version" HTTP Response Header Field
10041	PASS	Server Leaks Information via "X-AspNetMvc-Version" HTTP Response Header Field
10042	PASS	Server Leaks Information via "X-Runtime" HTTP Response Header Field
10043	PASS	Server Leaks Information via "X-Version" HTTP Response Header Field
10044	PASS	Server Leaks Information via "X-PHP-Version" HTTP Response Header Field
10045	PASS	Server Leaks Information via "X-PHP-Originating-Script" HTTP Response Header Field
10046	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10047	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10048	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10049	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10050	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10051	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10052	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10053	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10054	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10055	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10056	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10057	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10058	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10059	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10060	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10061	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10062	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10063	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10064	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10065	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10066	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10067	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10068	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10069	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10070	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10071	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10072	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10073	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10074	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10075	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10076	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10077	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10078	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10079	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10080	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10081	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10082	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10083	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10084	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10085	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10086	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10087	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10088	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10089	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10090	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10091	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10092	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10093	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10094	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10095	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10096	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10097	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10098	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10099	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10100	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10101	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10102	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10103	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10104	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10105	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10106	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10107	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10108	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10109	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10110	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10111	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10112	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10113	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10114	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10115	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10116	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10117	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10118	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10119	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10120	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10121	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10122	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10123	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10124	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10125	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10126	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10127	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10128	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10129	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10130	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10131	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10132	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10133	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10134	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10135	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10136	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10137	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10138	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10139	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10140	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10141	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10142	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10143	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10144	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10145	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10146	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10147	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10148	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10149	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10150	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10151	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10152	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10153	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10154	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10155	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10156	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10157	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10158	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10159	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10160	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10161	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10162	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10163	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10164	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10165	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10166	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10167	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10168	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10169	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10170	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10171	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10172	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10173	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10174	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10175	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10176	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10177	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10178	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10179	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10180	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10181	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10182	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10183	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10184	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10185	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10186	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10187	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10188	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10189	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10190	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10191	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10192	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10193	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10194	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10195	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10196	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10197	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10198	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10199	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field
10200	PASS	Server Leaks Information via "X-Envoy-Upstream-Service-Time" HTTP Response Header Field


